model,rmse,mae,precision_10,recall_10
"UBCF (k=20, min_support=10)",0.843040059855726,0.6406887164723327,0.04991055456171735,0.04530208547202669
"IBCF (k=30, min_support=1)",0.876861162547843,0.6730647788574038,0.056171735241502686,0.03817830402348921
UserMeanBaseline,0.9127697133189365,0.7063594762692138,0.025044722719141325,0.024553187293265097
ItemMeanBaseline,0.9253310957031448,0.7152131943961939,0.036493738819320214,0.03456641847484438
GlobalMeanBaseline,0.9990126374977939,0.799963756207373,0.025044722719141325,0.024553187293265097
